Customer_id,Age,Gender,Revenue_Total,N_Purchases,Purchase_DATE,Purchase_VALUE,Pay_Method,Time_Spent,Browser,Newsletter,Voucher,Purchase_DAY,Purchase_MONTH,Purchase_YEAR
504308,53,0,45.3,2,22/6/2021,24.915,1,885,0,0,0,22,6,2021
504309,18,1,36.2,3,10/12/2021,2.896,2,656,0,0,1,10,12,2021
504310,52,1,10.6,1,14/3/2021,10.6,0,761,0,1,0,14,3,2021
504311,29,0,54.1,5,25/10/2021,43.28,1,906,0,1,0,25,10,2021
504312,21,1,56.9,1,14/9/2021,56.9,1,605,0,1,0,14,9,2021
504313,55,0,13.7,6,14/5/2021,12.467,1,364,1,0,0,14,5,2021
504314,17,1,30.7,6,9/1/2021,2.456,0,654,0,0,0,9,1,2021
504315,30,1,8.1,7,28/3/2021,6.561,3,1011,0,0,0,28,3,2021
504316,51,0,18,4,4/8/2021,11.88,0,312,3,1,0,4,8,2021
504317,63,1,19.2,4,6/10/2021,11.904,3,828,0,0,0,6,10,2021
504318,26,0,36.5,5,31/12/2021,31.39,2,1029,0,0,1,31,12,2021
504319,42,1,14,4,22/11/2021,4.34,3,479,1,0,0,22,11,2021
504320,40,0,14.7,2,2/8/2021,2.94,3,645,0,0,0,2,8,2021
504321,19,0,37.4,4,7/5/2021,15.334,3,501,1,0,0,7,5,2021
504322,30,1,15.4,1,2/5/2021,15.4,3,802,2,0,0,2,5,2021
504323,60,0,28.7,7,4/6/2021,0.861,3,804,0,0,0,4,6,2021
504324,22,0,39.7,3,22/2/2021,30.569,2,931,3,0,0,22,2,2021
504325,39,1,5.1,3,13/7/2021,1.53,3,911,3,1,0,13,7,2021
504326,21,1,43.9,6,13/9/2021,19.755,1,468,0,0,1,13,9,2021
504327,20,1,36.4,6,16/1/2021,14.56,2,714,0,0,0,16,1,2021
504328,54,0,23.2,1,3/7/2021,23.2,0,474,0,0,1,3,7,2021
504329,53,0,26.3,7,22/12/2021,15.517,3,691,1,1,0,22,12,2021
504330,22,1,33.1,2,10/1/2021,0.662,0,394,0,0,1,10,1,2021
504331,32,1,1.2,4,20/1/2021,0.204,0,1013,1,0,1,20,1,2021
504332,36,1,41.3,6,16/4/2021,24.367,1,165,3,0,0,16,4,2021
504333,24,1,25.5,3,13/5/2021,4.08,0,710,0,0,0,13,5,2021
504334,57,1,34.1,5,7/9/2021,18.073,3,664,0,0,1,7,9,2021
504335,27,1,30.8,4,21/7/2021,26.18,2,808,1,0,0,21,7,2021
504336,21,0,31.1,2,11/1/2021,9.019,0,992,0,0,0,11,1,2021
504337,52,1,48.1,6,19/10/2021,34.151,3,311,0,0,1,19,10,2021
504338,52,1,42.7,2,4/2/2021,22.204,1,283,1,1,0,4,2,2021
504339,52,1,53.5,4,13/12/2021,14.98,0,941,0,0,0,13,12,2021
504340,55,0,39,2,3/2/2021,23.79,1,137,0,0,0,3,2,2021
504341,63,1,30.3,5,16/8/2021,5.454,0,469,0,0,0,16,8,2021
504342,17,0,34.7,1,17/9/2021,34.7,1,338,1,0,0,17,9,2021
504343,41,1,41.3,6,11/10/2021,9.086,1,723,0,0,0,11,10,2021
504344,32,1,26.4,7,14/5/2021,4.752,0,496,0,1,0,14,5,2021
504345,57,0,33.1,7,12/7/2021,30.452,2,142,0,0,1,12,7,2021
504346,39,1,59.3,3,24/4/2021,21.348,0,484,0,0,0,24,4,2021
504347,35,0,14.3,1,25/3/2021,14.3,2,552,0,0,0,25,3,2021
504348,48,1,35,7,5/11/2021,21.7,2,610,3,1,0,5,11,2021
504349,56,1,3.9,7,10/4/2021,1.755,2,128,0,1,0,10,4,2021
504350,60,0,5.1,1,3/1/2021,5.1,0,755,0,0,0,3,1,2021
504351,32,1,1.6,5,22/11/2021,1.488,1,1040,0,0,1,22,11,2021
504352,49,1,11.3,6,22/5/2021,7.006,0,729,3,0,0,22,5,2021
504353,22,1,41.9,7,7/2/2021,31.006,2,1033,0,0,0,7,2,2021
504354,25,1,22.7,2,15/10/2021,12.031,2,628,2,0,0,15,10,2021
504355,57,1,37.1,7,14/1/2021,17.066,1,757,0,0,0,14,1,2021
504356,50,0,5.7,2,31/8/2021,1.71,1,815,0,1,1,31,8,2021
504357,55,0,27.2,2,6/2/2021,16.592,3,1038,1,1,0,6,2,2021
